Drug ID,Target ID,ChEMBL,DrugBank,KEGG,KEGGhsa,SuperTarget,Checked
D02349,hsa151,C,,K,K,,T
D02349,hsa152,C,,K,K,,T
D02349,hsa153,C,,K,K,,T
D02349,hsa148,C,D,K,K,,T
D02349,hsa146,C,,K,K,,T
D02357,hsa3357,C,D,K,K,S,T
D02357,hsa3350,C,D,K,K,S,T
D02357,hsa3358,C,D,K,K,S,T
D03165,hsa1815,C,D,,,,T
D03165,hsa1814,C,D,,,S,T
D03654,hsa1129,C,D,,,S,T
D04375,hsa151,C,D,K,K,,T
D04375,hsa152,C,,K,K,,T
D04625,hsa154,C,D,K,K,,T
D05113,hsa4986,C,D,K,K,S,T
D05113,hsa4985,C,D,K,K,S,T
D00049,hsa8843,,D,,,S,T
D00059,hsa1816,,D,K,K,,T
D00059,hsa1815,,D,K,K,,T
D00110,hsa1129,,D,,,,T
D00110,hsa1128,,D,,,,T
D00136,hsa1812,,D,,,S,T
D00255,hsa152,,D,,,,T
D00270,hsa1128,,D,K,K,,T
D00270,hsa146,,D,,,,T
D00270,hsa152,,D,K,K,,T
D00270,hsa1131,,D,K,K,,T
D00270,hsa3350,,D,,,,T
D00274,hsa3356,,D,K,K,S,T
D00283,hsa1131,,D,,,,T
D00283,hsa1132,,D,,,,T
D00283,hsa1133,,D,,,,T
D00283,hsa152,,D,K,K,S,T
D00300,hsa1129,,D,,,,T
D00332,hsa2550,,D,,,,T
D00394,hsa154,,D,,,,T
D00394,hsa155,,D,,,,T
D00394,hsa1129,,D,,,,T
D00394,hsa1128,,D,,,,T
D00394,hsa150,,D,,,,T
D00394,hsa151,,D,,,,T
D00394,hsa153,,D,,,,T
D00394,hsa1131,,D,,,,T
D00394,hsa1132,,D,,,,T
D00394,hsa1133,,D,,,,T
D00394,hsa3352,,D,,,,T
D00394,hsa3350,,D,,,,T
D00394,hsa1816,,D,,,,T
D00394,hsa1812,,D,,,,T
D00415,hsa3355,,D,,,S,T
D00415,hsa3350,,D,,,S,T
D00426,hsa1815,,D,,,S,T
D00426,hsa1814,,D,,,S,T
D00426,hsa151,,D,,,,T
D00426,hsa152,,D,,,S,T
D00426,hsa3363,,D,,,S,T
D00426,hsa3352,,D,,,,T
D00426,hsa3350,,D,,,S,T
D00426,hsa150,,D,,,S,T
D00426,hsa3269,,D,,,S,T
D00426,hsa1812,,D,,,S,T
D00442,hsa6755,,D,,,S,T
D00454,hsa152,,D,,,S,T
D00454,hsa3350,,D,,,S,T
D00480,hsa1129,,D,,,,T
D00480,hsa1128,,D,,,,T
D00480,hsa1813,,D,,,,T
D00480,hsa1131,,D,,,,T
D00480,hsa1132,,D,,,,T
D00480,hsa1133,,D,,,,T
D00480,hsa3356,,D,,,,T
D00480,hsa3274,,D,,,,T
D00480,hsa148,,D,,,,T
D00483,hsa3350,,D,,,,T
D00483,hsa3351,,D,,,,T
D00494,hsa3274,,D,,,,T
D00498,hsa4986,,D,K,K,S,T
D00521,hsa1133,,D,,,,T
D00521,hsa1131,,D,,,,T
D00521,hsa1129,,D,,,,T
D00521,hsa1128,,D,,,S,T
D00521,hsa1132,,D,,,,T
D00524,hsa1132,,D,K,K,S,T
D00525,hsa1129,,D,K,K,S,T
D00525,hsa1132,,D,,,S,T
D00542,hsa6010,,D,,,S,T
D00559,hsa1816,,D,,,,T
D00559,hsa151,,D,,,,T
D00559,hsa152,,D,,,,T
D00559,hsa3356,,D,,,,T
D00559,hsa3357,,D,,,,T
D00559,hsa3352,,D,,,,T
D00559,hsa3350,,D,,,,T
D00559,hsa3351,,D,,,,T
D00559,hsa150,,D,,,,T
D00559,hsa3358,,D,,,,T
D00559,hsa1812,,D,,,,T
D00563,hsa154,,D,,,,T
D00563,hsa1816,,D,,,,T
D00563,hsa1814,,D,,,S,T
D00563,hsa147,,D,,,,T
D00563,hsa146,,D,,,,T
D00563,hsa153,,D,,,,T
D00563,hsa148,,D,,,,T
D00563,hsa3363,,D,,,S,T
D00563,hsa3357,,D,K,K,,T
D00563,hsa4986,,D,,,S,T
D00563,hsa1813,,D,,,S,T
D00563,hsa3269,,D,,,S,T
D00563,hsa1812,,D,,,,T
D00604,hsa148,,D,,,,T
D00604,hsa147,,D,,,,T
D00613,hsa148,,D,,,,T
D00613,hsa147,,D,,,,T
D00613,hsa146,,D,,,,T
D00632,hsa148,,D,,,,T
D00632,hsa147,,D,,,,T
D00632,hsa146,,D,,,,T
D00646,hsa1132,,D,,,S,T
D00646,hsa1133,,D,,,S,T
D00674,hsa3350,,D,,,,T
D00675,hsa3355,,D,,,,T
D00676,hsa3350,,D,,,,T
D00687,hsa155,,D,,,,T
D00687,hsa153,,D,,,,T
D00688,hsa155,,D,,,,T
D00688,hsa153,,D,,,,T
D00715,hsa1131,,D,K,K,,T
D00715,hsa1129,,D,K,K,,T
D00780,hsa1816,,D,,,,T
D00780,hsa147,,D,,,,T
D00780,hsa151,,D,,,,T
D00780,hsa152,,D,,,,T
D00780,hsa148,,D,,,,T
D00780,hsa3363,,D,,,,T
D00780,hsa3356,,D,,,,T
D00780,hsa3357,,D,,,,T
D00780,hsa3352,,D,,,,T
D00780,hsa3350,,D,,,,T
D00780,hsa3351,,D,,,,T
D00780,hsa150,,D,,,,T
D00780,hsa1812,,D,,,,T
D00780,hsa3358,,D,,,,T
D00780,hsa146,,D,,,,T
D00790,hsa1129,,D,,,,T
D00790,hsa1128,,D,,,,T
D00790,hsa1131,,D,,,,T
D00790,hsa1132,,D,,,,T
D00790,hsa1133,,D,,,,T
D00790,hsa3357,,D,,,S,T
D00790,hsa3269,,D,,,S,T
D00837,hsa4985,,D,,,,T
D00845,hsa4986,,D,,,,T
D00845,hsa4985,,D,,,,T
D00987,hsa154,,D,,,,T
D00987,hsa1816,,D,,,,T
D00987,hsa1815,,D,,,,T
D00987,hsa1814,,D,,,,T
D00987,hsa147,,D,,,,T
D00987,hsa151,,D,,,,T
D00987,hsa152,,D,,,,T
D00987,hsa153,,D,,,,T
D00987,hsa148,,D,,,,T
D00987,hsa3363,,D,,,,T
D00987,hsa3356,,D,,,,T
D00987,hsa3357,,D,,,,T
D00987,hsa3352,,D,,,,T
D00987,hsa3350,,D,,,,T
D00987,hsa3351,,D,,,,T
D00987,hsa150,,D,,,,T
D00987,hsa1812,,D,,,,T
D00987,hsa3358,,D,,,,T
D00987,hsa146,,D,,,,T
D01118,hsa1129,,D,K,K,,T
D01164,hsa1816,,D,,,,T
D01164,hsa1129,,D,,,,T
D01164,hsa148,,D,,,,T
D01164,hsa150,,D,,,,T
D01164,hsa151,,D,,,,T
D01164,hsa152,,D,,,,T
D01164,hsa1131,,D,,,,T
D01164,hsa1132,,D,,,,T
D01164,hsa1133,,D,,,,T
D01164,hsa3363,,D,,,S,T
D01164,hsa1815,,D,,,,T
D01164,hsa3354,,D,,,,T
D01164,hsa1128,,D,,,,T
D01164,hsa3352,,D,,,,T
D01164,hsa3351,,D,,,,T
D01164,hsa3269,,D,,,,T
D01164,hsa1812,,D,,,,T
D01242,hsa1129,,D,,,,T
D01242,hsa1128,,D,,,,T
D01242,hsa1813,,D,,,,T
D01242,hsa1131,,D,,,,T
D01242,hsa1132,,D,,,,T
D01242,hsa1133,,D,,,,T
D01242,hsa3356,,D,,,,T
D01242,hsa3274,,D,,,,T
D01242,hsa148,,D,,,,T
D01269,hsa1133,,D,,,,T
D01269,hsa1132,,D,,,,T
D01295,hsa1131,,D,,,,T
D01295,hsa1132,,D,,,,T
D01295,hsa1133,,D,,,,T
D01295,hsa1129,,D,,,,T
D01295,hsa1128,,D,,,,T
D01462,hsa1816,,D,,,,T
D01462,hsa1815,,D,K,K,,T
D01462,hsa1814,,D,K,K,,T
D01462,hsa150,,D,,,,T
D01462,hsa151,,D,,,,T
D01462,hsa152,,D,,,,T
D01462,hsa3363,,D,,,,T
D01462,hsa3356,,D,,,,T
D01462,hsa3357,,D,,,,T
D01462,hsa3352,,D,,,,T
D01462,hsa3350,,D,,,,T
D01462,hsa3351,,D,,,,T
D01462,hsa3358,,D,,,,T
D01462,hsa1812,,D,,,,T
D01603,hsa154,,D,,,,T
D01603,hsa155,,D,,,,T
D01603,hsa153,,D,,,,T
D01699,hsa1133,,D,,,,T
D01699,hsa1128,,D,,,,T
D01699,hsa1132,,D,,,,T
D01712,hsa136,,D,K,K,,T
D01713,hsa3363,,D,,,,T
D01745,hsa1814,,D,,,S,T
D02147,hsa155,,D,,,S,T
D02147,hsa153,,D,,,S,T
D02234,hsa1129,,D,,,,T
D02234,hsa1128,,D,,,,T
D02234,hsa1131,,D,,,,T
D02234,hsa3363,,D,,,,T
D02234,hsa3356,,D,,,,T
D02234,hsa3269,,D,K,K,,T
D02234,hsa3358,,D,,,,T
D02340,hsa1816,,D,,,,T
D02340,hsa1129,,D,,,,T
D02340,hsa148,,D,,,,T
D02340,hsa150,,D,,,,T
D02340,hsa151,,D,,,,T
D02340,hsa152,,D,,,,T
D02340,hsa153,,D,,,,T
D02340,hsa1131,,D,,,,T
D02340,hsa1132,,D,,,,T
D02340,hsa1133,,D,,,,T
D02340,hsa3363,,D,,,,T
D02340,hsa3274,,D,,,,T
D02340,hsa3354,,D,,,,T
D02340,hsa1128,,D,,,S,T
D02340,hsa3352,,D,,,,T
D02340,hsa3350,,D,,,,T
D02340,hsa3351,,D,,,,T
D02340,hsa3269,,D,,,,T
D02340,hsa1812,,D,,,S,T
D02357,hsa3363,,D,K,K,S,T
D02357,hsa3354,,D,,,,T
D02357,hsa3355,,D,,,,T
D02357,hsa3351,,D,,,S,T
D02358,hsa154,,D,,,S,T
D02566,hsa1129,,D,,,,T
D02566,hsa1128,,D,,,,T
D02566,hsa150,,D,,,,T
D02566,hsa151,,D,,,,T
D02566,hsa152,,D,,,,T
D02566,hsa1131,,D,,,,T
D02566,hsa1132,,D,,,,T
D02566,hsa1133,,D,,,,T
D02566,hsa3363,,D,,,,T
D02566,hsa3356,,D,,,,T
D02566,hsa147,,D,,,,T
D02566,hsa1813,,D,,,S,T
D02566,hsa3358,,D,,,,T
D02566,hsa146,,D,,,,T
D03165,hsa1816,,D,,,,T
D03165,hsa147,,D,,,,T
D03165,hsa151,,D,,,,T
D03165,hsa152,,D,,,,T
D03165,hsa148,,D,,,,T
D03165,hsa3363,,D,,,,T
D03165,hsa3356,,D,,,,T
D03165,hsa3357,,D,,,,T
D03165,hsa3352,,D,,,,T
D03165,hsa3350,,D,,,S,T
D03165,hsa3351,,D,,,,T
D03165,hsa150,,D,,,,T
D03165,hsa1812,,D,,,,T
D03165,hsa3358,,D,,,,T
D03165,hsa146,,D,,,,T
D03274,hsa1816,,D,,,,T
D03274,hsa1815,,D,,,,T
D03274,hsa1128,,D,K,K,,T
D03274,hsa1813,,D,K,K,,T
D03274,hsa146,,D,,,,T
D03274,hsa1131,,D,K,K,,T
D03274,hsa3350,,D,,,,T
D03274,hsa1812,,D,,,,T
D03415,hsa150,,D,,,,T
D03415,hsa146,,D,K,K,,T
D03415,hsa152,,D,,,,T
D03415,hsa148,,D,K,K,,T
D03415,hsa147,,D,K,K,,T
D03415,hsa151,,D,,,,T
D03654,hsa1133,,D,,,S,T
D03654,hsa1128,,D,,,S,T
D03654,hsa1132,,D,,,S,T
D03879,hsa148,,D,,,,T
D03879,hsa147,,D,,,,T
D03879,hsa146,,D,,,,T
D03880,hsa148,,D,,,,T
D03880,hsa147,,D,,,,T
D03880,hsa146,,D,,,,T
D03881,hsa148,,D,,,,T
D03881,hsa147,,D,,,,T
D03881,hsa146,,D,,,,T
D04006,hsa134,,D,K,K,S,T
D04006,hsa140,,D,,,S,T
D04006,hsa135,,D,K,K,S,T
D04034,hsa1816,,D,,,,T
D04034,hsa1815,,D,,,,T
D04034,hsa1128,,D,K,K,,T
D04034,hsa1813,,D,K,K,,T
D04034,hsa146,,D,,,,T
D04034,hsa1131,,D,K,K,,T
D04034,hsa3350,,D,,,,T
D04034,hsa1812,,D,,,,T
D05740,hsa3355,,D,,,,T
D05792,hsa155,,D,,,S,T
D05792,hsa153,,D,,,S,T
D05938,hsa4986,,D,,,,T
D05938,hsa4985,,D,,,,T
D06056,hsa3356,,D,,,,T
D06056,hsa3357,,D,,,,T
D06056,hsa3358,,D,,,,T
D00232,hsa1132,,,K,K,,T
D00232,hsa1133,,,K,K,,T
D00270,hsa1129,,,K,K,,T
D00270,hsa1132,,,K,K,,T
D00270,hsa1133,,,K,K,,T
D00270,hsa3357,,,K,K,,T
D00270,hsa3269,,,K,K,,T
D00270,hsa3358,,,K,K,,T
D00397,hsa1133,,,K,K,,T
D00454,hsa3357,,,K,K,,T
D00465,hsa1132,,,K,K,,T
D00465,hsa1133,,,K,K,,T
D00524,hsa1133,,,K,K,S,T
D00715,hsa1133,,,K,K,,T
D00715,hsa1132,,,K,K,,T
D00765,hsa1133,,,K,K,,T
D00765,hsa1131,,,K,K,,T
D00765,hsa1132,,,K,K,,T
D00765,hsa1128,,,K,K,,T
D00779,hsa1131,,,K,K,,T
D00779,hsa1132,,,K,K,,T
D00779,hsa1133,,,K,K,,T
D01051,hsa1813,,,K,K,S,T
D01118,hsa1131,,,K,K,,T
D01118,hsa1133,,,K,K,,T
D01118,hsa1132,,,K,K,,T
D01297,hsa1131,,,K,K,,T
D01297,hsa1129,,,K,K,,T
D01297,hsa1133,,,K,K,,T
D01297,hsa1132,,,K,K,,T
D01358,hsa150,,,K,K,,T
D01358,hsa151,,,K,K,,T
D01358,hsa152,,,K,K,,T
D01386,hsa155,,,K,K,,T
D01386,hsa147,,,K,K,,T
D01386,hsa146,,,K,K,,T
D01386,hsa152,,,K,K,,T
D01386,hsa153,,,K,K,,T
D01386,hsa148,,,K,K,,T
D01386,hsa150,,,K,K,,T
D01386,hsa151,,,K,K,,T
D01891,hsa5732,,,K,K,,T
D02725,hsa5732,,,K,K,,T
D02910,hsa147,,,K,K,,T
D02910,hsa146,,,K,K,,T
D03274,hsa1129,,,K,K,,T
D03274,hsa1132,,,K,K,,T
D03274,hsa1133,,,K,K,,T
D03274,hsa3356,,,K,K,,T
D03274,hsa3357,,,K,K,,T
D03274,hsa3269,,,K,K,,T
D03274,hsa3358,,,K,K,,T
D03858,hsa1132,,,K,K,,T
D03858,hsa1133,,,K,K,,T
D04034,hsa1129,,,K,K,,T
D04034,hsa1132,,,K,K,,T
D04034,hsa1133,,,K,K,,T
D04034,hsa3356,,,K,K,,T
D04034,hsa3357,,,K,K,,T
D04034,hsa3269,,,K,K,,T
D04034,hsa3358,,,K,K,,T
D00136,hsa1816,,,,,S,T
D00136,hsa1128,,,,,S,T
D00136,hsa146,,,,,S,T
D00136,hsa152,,,,,S,T
D00136,hsa3350,,,,,S,T
D00136,hsa3358,,,,,S,T
D00225,hsa887,,,,,S,T
D00234,hsa6752,,,,,S,T
D00234,hsa6755,,,,,S,T
D00235,hsa155,,,,,S,T
D00235,hsa140,,,,,S,T
D00241,hsa140,,,,,S,T
D00274,hsa155,,,,,S,T
D00274,hsa1813,,,,,S,T
D00274,hsa146,,,,,S,T
D00274,hsa152,,,,,S,T
D00274,hsa153,,,,,S,T
D00274,hsa3355,,,,,S,T
D00274,hsa1812,,,,,S,T
D00283,hsa140,,,,,S,T
D00295,hsa59340,,,,,S,T
D00364,hsa59340,,,,,S,T
D00411,hsa155,,,,,S,T
D00411,hsa1128,,,,,S,T
D00411,hsa1813,,,,,S,T
D00411,hsa146,,,,,S,T
D00411,hsa152,,,,,S,T
D00411,hsa3356,,,,,S,T
D00411,hsa134,,,,,S,T
D00411,hsa3355,,,,,S,T
D00411,hsa4988,,,,,S,T
D00411,hsa3269,,,,,S,T
D00415,hsa3360,,,,,S,T
D00419,hsa5739,,,,,S,T
D00422,hsa59340,,,,,S,T
D00426,hsa1128,,,,,S,T
D00426,hsa153,,,,,S,T
D00426,hsa3362,,,,,S,T
D00437,hsa140,,,,,S,T
D00437,hsa135,,,,,S,T
D00451,hsa3363,,,,,S,T
D00451,hsa1813,,,,,S,T
D00454,hsa3363,,,,,S,T
D00493,hsa1815,,,,,S,T
D00498,hsa4985,,,,,S,T
D00503,hsa3363,,,,,S,T
D00509,hsa3350,,,,,S,T
D00514,hsa146,,,,,S,T
D00521,hsa146,,,,,S,T
D00523,hsa1909,,,,,S,T
D00525,hsa1133,,,,,S,T
D00560,hsa4988,,,,,S,T
D00563,hsa1815,,,,,S,T
D00563,hsa3355,,,,,S,T
D00563,hsa3350,,,,,S,T
D00726,hsa1816,,,,,S,T
D00726,hsa1815,,,,,S,T
D00726,hsa1812,,,,,S,T
D00775,hsa3350,,,,,S,T
D01022,hsa3350,,,,,S,T
D01051,hsa1815,,,,,S,T
D01051,hsa1814,,,,,S,T
D01051,hsa1812,,,,,S,T
D01051,hsa3362,,,,,S,T
D01051,hsa3361,,,,,S,T
D01051,hsa3358,,,,,S,T
D01358,hsa3274,,,,,S,T
D01358,hsa3350,,,,,S,T
D01745,hsa1816,,,,,S,T
D01745,hsa1815,,,,,S,T
D01745,hsa1812,,,,,S,T
D01745,hsa3360,,,,,S,T
D02340,hsa59340,,,,,S,T
D02340,hsa3362,,,,,S,T
D02342,hsa155,,,,,S,T
D02354,hsa1816,,,,,S,T
D02354,hsa148,,,,,S,T
D02354,hsa1814,,,,,S,T
D02357,hsa3352,,,,,S,T
D02358,hsa155,,,,,S,T
D02566,hsa1816,,,,,S,T
D02566,hsa1814,,,,,S,T
D02566,hsa1812,,,,,S,T
D02721,hsa5732,,,,,S,T
D03165,hsa3362,,,,,S,T
